Parameters,Countries,Values
Recovery rate,China,0.043726236
Recovery rate,US,-0.0003075
Recovery rate,Sweden,0.0
Recovery rate,China,0.041237113
Recovery rate,US,0.014346757
Recovery rate,Sweden,0.0
Recovery rate,China,0.047473201
Recovery rate,US,0.008590618
Recovery rate,Sweden,0.000465602
Recovery rate,China,0.057991513
Recovery rate,US,0.018392532
Recovery rate,Sweden,0.000251073
Recovery rate,China,0.015544041
Recovery rate,US,0.004715157
Recovery rate,Sweden,0.000299162
Recovery rate,China,0.043735225
Recovery rate,US,0.009935605
Recovery rate,Sweden,0.00025682
Recovery rate,China,0.035281147
Recovery rate,US,0.009671625
Recovery rate,Sweden,0.0
Recovery rate,China,0.030927835
Recovery rate,US,0.005335835
Recovery rate,Sweden,0.0
Recovery rate,China,0.017707363
Recovery rate,US,0.010154913
Recovery rate,Sweden,0.0
Recovery rate,China,0.029772329
Recovery rate,US,0.01011182
Recovery rate,Sweden,0.000494823
Recovery rate,China,0.042535446
Recovery rate,US,0.01185372
Recovery rate,Sweden,0.000685147
Recovery rate,China,0.037066246
Recovery rate,US,0.010090735
Recovery rate,Sweden,0.000135038
Recovery rate,China,0.043641836
Recovery rate,US,0.008082853
Recovery rate,Sweden,0.000225873
Recovery rate,China,0.039341917
Recovery rate,US,0.012410976
Recovery rate,Sweden,0.0
Recovery rate,China,0.049247606
Recovery rate,US,0.005628505
Recovery rate,Sweden,0.0
Recovery rate,China,0.048666667
Recovery rate,US,0.01024595
Recovery rate,Sweden,0.0
Recovery rate,China,0.051973684
Recovery rate,US,0.008290416
Recovery rate,Sweden,0.000489249
Recovery rate,China,0.065035415
Recovery rate,US,0.011556771
Recovery rate,Sweden,0.000330428
Recovery rate,China,0.079719388
Recovery rate,US,0.010554473
Recovery rate,Sweden,0.00019496
Recovery rate,China,0.068789809
Recovery rate,US,0.016297963
Recovery rate,Sweden,0.000523948
Recovery rate,China,0.083279949
Recovery rate,US,0.011959414
Recovery rate,Sweden,0.0
Recovery rate,China,0.06496063
Recovery rate,US,0.005502199
Recovery rate,Sweden,0.0
